epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8792,1.06964,4.48895,1.54798,0.03207,0.25725,0.05978,0.0525,0.79195,3.83061,1.57718,6.59498e-05,6.59498e-05,6.59498e-05
2,71.9426,0.92524,4.01167,1.41311,0.65341,0.30912,0.38115,0.29859,0.86646,2.63037,1.58286,0.00012824,0.00012824,0.00012824
3,104.148,0.95813,3.41975,1.42511,0.56086,0.58525,0.63549,0.49464,0.8618,1.88953,1.57125,0.00018613,0.00018613,0.00018613
4,138.445,0.95876,2.84373,1.406,0.72975,0.74273,0.86689,0.66929,0.86001,1.44385,1.55351,0.0001802,0.0001802,0.0001802
5,171.779,0.93091,2.3872,1.38517,0.8349,0.84599,0.89868,0.71027,0.8068,1.13199,1.4867,0.0001736,0.0001736,0.0001736
6,205.037,0.89273,2.01239,1.35121,0.88878,0.90864,0.94427,0.74018,0.81034,0.87326,1.48273,0.000167,0.000167,0.000167
7,237.823,0.88553,1.80909,1.3284,0.94572,0.93102,0.97003,0.76892,0.79153,0.73226,1.45336,0.0001604,0.0001604,0.0001604
8,270.649,0.86644,1.67953,1.32232,0.92462,0.92086,0.96645,0.7683,0.76214,0.75088,1.42338,0.0001538,0.0001538,0.0001538
9,303.29,0.83831,1.51132,1.29257,0.90489,0.94627,0.96576,0.7619,0.75753,0.64821,1.42077,0.0001472,0.0001472,0.0001472
10,335.574,0.81396,1.40036,1.27957,0.96195,0.95604,0.98476,0.7813,0.75645,0.60462,1.43175,0.0001406,0.0001406,0.0001406
11,368.627,0.82536,1.33285,1.27686,0.92862,0.96458,0.97542,0.77939,0.74134,0.57601,1.41344,0.000134,0.000134,0.000134
12,402.131,0.80561,1.25656,1.26534,0.96377,0.93437,0.97745,0.7873,0.72528,0.55811,1.38062,0.0001274,0.0001274,0.0001274
13,435.754,0.79061,1.22265,1.25781,0.93618,0.97128,0.98201,0.78173,0.76651,0.54096,1.42153,0.0001208,0.0001208,0.0001208
14,469.49,0.7791,1.12651,1.2398,0.97025,0.9644,0.98742,0.79392,0.72554,0.5142,1.37825,0.0001142,0.0001142,0.0001142
15,503.101,0.75654,1.10853,1.23011,0.95057,0.97082,0.98395,0.79416,0.71253,0.51762,1.37272,0.0001076,0.0001076,0.0001076
16,535.416,0.77483,1.09188,1.24519,0.96791,0.95979,0.98899,0.80425,0.71446,0.49974,1.36691,0.000101,0.000101,0.000101
17,566.445,0.75503,1.04056,1.22246,0.95884,0.9669,0.9894,0.80438,0.70992,0.49169,1.36891,9.44e-05,9.44e-05,9.44e-05
18,600.046,0.7392,1.00109,1.21764,0.9377,0.96589,0.98461,0.79725,0.72194,0.49094,1.36975,8.78e-05,8.78e-05,8.78e-05
19,633.504,0.74294,0.98696,1.22221,0.95715,0.9809,0.98965,0.80334,0.69902,0.47183,1.35274,8.12e-05,8.12e-05,8.12e-05
20,667.102,0.73913,0.95783,1.20646,0.95347,0.97085,0.99101,0.80538,0.69472,0.4602,1.35557,7.46e-05,7.46e-05,7.46e-05
21,700.734,0.63434,1.16566,1.25452,0.92322,0.96598,0.98421,0.80024,0.70172,0.4621,1.35118,6.8e-05,6.8e-05,6.8e-05
22,731.956,0.63015,1.04994,1.2578,0.93088,0.98097,0.98866,0.80827,0.69592,0.43763,1.33923,6.14e-05,6.14e-05,6.14e-05
23,760.994,0.60847,1.00381,1.24055,0.97212,0.96408,0.98897,0.80674,0.69099,0.42906,1.3468,5.48e-05,5.48e-05,5.48e-05
24,792.262,0.60225,0.98201,1.23521,0.94866,0.97244,0.98868,0.80842,0.69041,0.43152,1.34942,4.82e-05,4.82e-05,4.82e-05
25,824.422,0.59676,0.95622,1.22682,0.97317,0.95468,0.98952,0.80787,0.67533,0.42203,1.32963,4.16e-05,4.16e-05,4.16e-05
26,855.133,0.59276,0.93839,1.21856,0.96242,0.97239,0.99101,0.8031,0.68601,0.41188,1.33938,3.5e-05,3.5e-05,3.5e-05
27,884.654,0.58047,0.9205,1.21609,0.96661,0.97415,0.99115,0.80792,0.678,0.39754,1.32982,2.84e-05,2.84e-05,2.84e-05
28,916.67,0.57779,0.90847,1.20045,0.95711,0.97216,0.99029,0.81096,0.67011,0.39759,1.31943,2.18e-05,2.18e-05,2.18e-05
29,948.553,0.566,0.89147,1.19599,0.96748,0.96811,0.98994,0.81459,0.66394,0.39313,1.31469,1.52e-05,1.52e-05,1.52e-05
30,978.103,0.57161,0.88778,1.20017,0.9616,0.9679,0.98993,0.81209,0.66084,0.38922,1.31205,8.6e-06,8.6e-06,8.6e-06
